match_id,patch,region,start_time,duration,radiant_win,league_id,first_blood_time,r_hero_1,r_p1_id,r_hero_2,r_p2_id,r_hero_3,r_p3_id,r_hero_4,r_p4_id,r_hero_5,r_p5_id,d_hero_1,d_p1_id,d_hero_2,d_p2_id,d_hero_3,d_p3_id,d_hero_4,d_p4_id,d_hero_5,d_p5_id,rad_avg_gpm,dire_avg_gpm,first_roshan_team,first_roshan_time,roshan_2_team,roshan_2_time,first_tower_team,first_tower_time,first_tormentor_team,first_tormentor_time,kills_10m,max_gold_swing,wisdom_7m_rad,wisdom_7m_dire,radiant_team_id,dire_team_id
8738840526,59,3.0,1774150987.0,1981,0,18959.0,205,41,1902782463.0,13,1903287666.0,71,1902976475.0,43,1903043745.0,14,1902738528.0,35,1902895053.0,45,1903997264.0,11,1903247233.0,108,1904129499.0,37,1902237853.0,410.4,514.8,0,1693,-1.0,9999.0,1.0,674.0,-1.0,9999.0,0,17248,0.0,0.0,9814269,9878494
8738815257,59,3.0,1774148850.0,1646,0,18959.0,232,48,1902895053.0,84,1903997264.0,2,1904129499.0,11,1903247233.0,128,1902237853.0,15,1902782463.0,129,1903043745.0,17,1903287666.0,71,1902976475.0,101,1902738528.0,430.2,500.2,0,1072,-1.0,9999.0,1.0,692.0,-1.0,9999.0,0,7892,0.0,0.0,9878494,9814269
8738704454,59,8.0,1774137975.0,2422,0,19464.0,111,131,901963357.0,46,194979527.0,34,191734430.0,129,1150772339.0,21,917319178.0,64,134556694.0,52,196482746.0,11,1055034228.0,26,84385735.0,136,1224974216.0,482.6,564.6,0,1322,0.0,1998.0,1.0,397.0,-1.0,9999.0,0,13699,0.0,0.0,9504944,10067598
8738675369,59,8.0,1774135111.0,1473,1,19464.0,56,131,901963357.0,21,194979527.0,119,917319178.0,61,1150772339.0,39,191734430.0,51,134556694.0,17,196482746.0,63,1055034228.0,88,84385735.0,65,1224974216.0,541.4,358.4,0,1055,-1.0,9999.0,1.0,581.0,-1.0,9999.0,0,20446,0.0,0.0,9504944,10067598
8738635591,59,2.0,1774131790.0,977,0,19467.0,71,80,201474668.0,29,119436728.0,35,118124657.0,64,94507743.0,84,132870835.0,79,127357660.0,98,383404666.0,59,284888782.0,97,103377644.0,50,70157388.0,227.2,368.6,0,761,-1.0,9999.0,1.0,620.0,-1.0,9999.0,0,9978,0.0,0.0,2114225,8080754
8738628422,59,8.0,1774131331.0,2477,0,19464.0,125,71,901963357.0,15,194979527.0,34,191734430.0,123,917319178.0,77,1150772339.0,51,134556694.0,138,1055034228.0,106,196482746.0,119,84385735.0,155,1224974216.0,478.6,583.0,0,1370,0.0,2089.0,1.0,955.0,-1.0,9999.0,0,19527,0.0,0.0,9504944,10067598
8738574604,59,2.0,1774127788.0,2295,1,19467.0,0,64,130945677.0,100,366306706.0,74,236815650.0,21,1146057962.0,128,880881162.0,85,125867450.0,4,124719218.0,97,94374162.0,19,129081913.0,75,91420774.0,491.4,408.0,0,1666,-1.0,9999.0,1.0,538.0,-1.0,9999.0,0,17254,0.0,0.0,7258250,581153
8738569082,59,2.0,1774127465.0,1363,0,19467.0,0,21,201474668.0,104,119436728.0,105,132870835.0,19,118124657.0,26,94507743.0,27,127357660.0,23,383404666.0,51,70157388.0,11,284888782.0,129,103377644.0,310.0,479.2,0,833,-1.0,9999.0,1.0,595.0,-1.0,9999.0,0,14957,0.0,0.0,2114225,8080754
8738568440,59,3.0,1774128019.0,1194,1,18866.0,218,52,1153798101.0,38,234119750.0,78,1675517497.0,131,435139370.0,87,104334048.0,18,283494184.0,99,187123736.0,11,997587648.0,110,169516760.0,88,223342537.0,468.4,366.6,0,1016,-1.0,9999.0,1.0,541.0,-1.0,9999.0,0,8034,0.0,0.0,9895247,10075008
8738521139,59,8.0,1774124846.0,3619,0,19464.0,36,83,1202267677.0,7,162798290.0,108,332342615.0,123,218231587.0,46,879017980.0,47,1473280545.0,21,181267255.0,28,390015464.0,48,830039714.0,50,217472313.0,454.4,595.0,0,1037,0.0,1620.0,1.0,981.0,-1.0,9999.0,0,37095,0.0,0.0,10088088,10088089
8738513464,59,3.0,1774124360.0,2107,1,18866.0,202,52,1153798101.0,48,234119750.0,78,1675517497.0,131,435139370.0,64,104334048.0,10,283494184.0,11,997587648.0,129,187123736.0,138,223342537.0,84,169516760.0,561.2,456.4,0,1007,0.0,1589.0,1.0,597.0,-1.0,9999.0,0,17780,0.0,0.0,9895247,10075008
