match_id,win_radiant,first_roshan_team,first_roshan_time,first_tower_team,first_tower_time,wisdom_7m_rad,wisdom_7m_dire,first_shard_team,first_shard_time,rad_power_runes_10m
8745377746,1,0,1857,1,444,0,0,1,1361,7
8745353837,0,1,1977,1,679,0,0,1,1153,8
8745321886,1,0,1646,1,558,0,0,1,981,7
8745289466,1,-1,0,1,671,0,0,0,991,6
8745281465,1,0,1499,1,645,0,0,1,1084,5
8745257904,0,1,1342,1,724,0,0,0,1207,7
8745254772,1,1,1063,1,683,0,0,1,1015,8
8745238714,0,1,1908,1,413,0,0,0,964,5
8745222657,1,0,1552,1,859,0,0,0,999,5
8745181014,0,-1,0,1,827,0,0,1,1227,4
8745168195,0,1,1169,1,670,0,0,0,970,6
8745148947,0,1,1487,1,697,0,0,0,946,12
8745090204,1,0,1726,1,589,0,0,1,1132,6
8745090122,0,-1,0,1,638,0,0,1,1228,6
8745059094,0,-1,0,1,716,0,0,0,1238,4
8745047609,0,1,1190,1,676,0,0,0,1029,6
8744989711,1,1,1639,1,600,0,0,1,1052,8
8744971178,1,0,1261,1,721,0,0,0,1281,7
8744950315,0,1,1060,1,472,0,0,1,933,7
8744943305,1,-1,0,1,830,0,0,0,1004,7
8744910225,1,0,1529,1,427,0,0,1,1065,2
8744891169,1,-1,0,1,786,0,0,1,1334,8
8744876410,1,0,1458,1,690,0,0,1,1090,9
8744834576,1,-1,0,1,636,0,0,0,984,8
8744833833,1,1,1864,1,870,0,0,0,1269,11
8744766119,1,1,1429,1,741,0,0,1,1534,6
8744743926,1,0,1053,1,562,0,0,0,900,8
8744701904,0,1,1636,1,872,0,0,0,954,8
8744692565,1,0,1572,1,578,0,0,1,1302,7
8744641110,1,-1,0,1,695,0,0,0,917,9
8744628933,1,0,1303,1,529,0,0,1,992,7
8744613508,0,1,1638,1,539,0,0,1,1356,7
8744582152,1,-1,0,1,871,0,0,1,1325,5
8744541889,1,0,1386,1,705,0,0,0,1026,6
8744541526,1,0,1621,1,559,0,0,0,914,10
8744526303,1,0,1948,1,892,0,0,0,960,6
8744516025,0,1,1048,1,453,0,0,1,900,5
8744498105,0,1,1693,1,701,0,0,0,1299,8
8744484891,0,-1,0,1,497,0,0,0,957,7
8744476155,1,0,1077,1,523,0,0,0,1128,9
8744452586,1,0,1326,1,809,0,0,1,1186,7
8744444353,0,1,1644,1,734,0,0,1,908,4
8744405700,1,1,1568,1,641,0,0,0,1126,6
8744401385,1,0,1879,1,581,0,0,0,1273,9
8744395141,1,0,1046,1,937,0,0,0,1111,10
8744386591,1,0,1157,1,595,0,0,0,1433,8
8744368806,1,0,1170,1,533,0,0,0,901,7
8744357763,1,0,1599,1,654,0,0,0,901,7
8744330452,0,1,1011,1,425,0,0,0,1229,7
8744321142,1,0,1752,1,621,0,0,0,900,8
8744296485,1,0,1046,1,508,0,0,0,921,7
8744282942,1,-1,0,1,651,0,0,1,908,7
8744270029,1,-1,0,1,843,0,0,1,1299,6
8744261482,1,0,1609,1,433,0,0,0,1160,7
8744253246,1,0,1196,1,474,0,0,0,928,8
8744250312,0,1,1612,1,716,0,0,0,1003,8
8744242631,0,1,1563,1,671,0,0,0,962,8
8744235313,1,0,1404,1,820,0,0,1,1096,4
8744215322,1,-1,0,1,398,0,0,0,1347,9
8744212261,1,-1,0,1,458,0,0,0,931,5
8744200545,1,0,1576,1,715,0,0,0,935,7
8744190953,0,0,1252,1,786,0,0,1,985,5
8744182837,0,0,1618,1,717,0,0,0,1085,7
